Text: making lunch | Sentiment: Positive
Text: alexia want money | Sentiment: Positive
Text: dizzyhrvy crap took forever put together going go sleep days | Sentiment: Positive
Text: jnaylor kiwitweets hey jer since start twittering | Sentiment: Positive
Text: trying quot delicious library quot mixed results bar code thought wanted add sport bra instead drill cool app tho | Sentiment: Positive
Text: valenvaldez oh good hear already continue holy week | Sentiment: Positive
Text: got list fellow hotties gon na share one amigo | Sentiment: Positive
Text: jakepaul jamescharles loganpaul shane made series doesnt mean people take seriously https co | Sentiment: Negative
Text: time warsaw beer garden chilling | Sentiment: Positive
Text: hate life lmao hope die soon sumn tired everything | Sentiment: Positive
Text: everything lover survival everything mother survival | Sentiment: Positive
Text: stray cat campus looks like garfield students always feeding fat like | Sentiment: Positive
Text: go | Sentiment: Positive
Text: awful habit avoiding writing papers watching instagram live videos kids used nanny https co | Sentiment: Negative
Text: rivensky haha well anything file rest away delete | Sentiment: Positive
Text: turbizzle goooooood hwo | Sentiment: Positive
Text: akwesiquan rt animeesay want say ill never active quite sure dont reason anymore anyways bye everyone | Sentiment: Positive
Text: focus opportunities focus money | Sentiment: Positive
Text: somebody please fucking kill im love https co wbvmmkzddh | Sentiment: Negative
Text: point semester tired everything want roll die | Sentiment: Positive
Text: sadegsi ger rus eng want die much dont want anymore | Sentiment: Positive
Text: hate fact true dojae surgery dojae endure pain alone without segye https co | Sentiment: Negative
Text: rt tired living life close eyes go sleep | Sentiment: Positive
Text: going kill right sorry feeling desperate | Sentiment: Positive
Text: earlydetection enjoy get season happy know getting groove | Sentiment: Positive
Text: johnshopkins bloodstain carpet ready gooo http short | Sentiment: Positive
Text: really fuckin want portion life | Sentiment: Positive
Text: hungry anyone timeline dare talk food seriously eat | Sentiment: Positive
Text: mom always used want everyone home dark though anything night day | Sentiment: Positive
Text: gailia think whatever want | Sentiment: Positive
Text: domselinakyle sounds terrible dad still lived hope gets better https co | Sentiment: Negative
Text: one shortly soap awards judging starts | Sentiment: Positive
Text: swingie conversation tonimassaar dependent seem internet mobile phones nowadays | Sentiment: Positive
Text: jrkgirlnla oh yes reading one | Sentiment: Positive
Text: life miserable getting better | Sentiment: Positive
Text: laprincipessa sau stood offenbach home outside sunshine love | Sentiment: Positive
Text: tired | Sentiment: Positive
Text: rt tamicakeyona single mommy never part plan wake everyday shit | Sentiment: Positive
Text: bezos de blasio cuomo walked little lego town kicked lego towers https co | Sentiment: Negative
Text: want money | Sentiment: Positive
Text: heavenlyhev know expect | Sentiment: Positive
Text: mmm mummy culinary skills improving smells good loving home cooked food | Sentiment: Positive
Text: need put rest crashed motorcycle today know mostly fine beautiful moment life know sick think felt good see people approach help crash feeling body dragged bike several meters ground looking sky one song played earphonesi felt emptiness past yearsi want second chance want get broken bike bring speed one last time end want drown anymore please | Sentiment: Negative
Text: brushin mah teef secularly | Sentiment: Positive
Text: london today wave see | Sentiment: Positive
Text: peoplemapsjulie looking berocca well | Sentiment: Positive
Text: nellypt thank thought pass around great day luv ur stuff | Sentiment: Positive
Text: wan na die deserve piece anything belong anywhere sick tired everything sa https co | Sentiment: Negative
Text: fucking hate whole family making feel fat done feeling bad body https co exwykcgcrf | Sentiment: Negative
Text: meerajane luv blog fashion lt | Sentiment: Positive
Text: maddierawrk sorry loss post gave goosebumps although thought suicide https co | Sentiment: Negative
Text: markuslarockus ha ha started something rocquestar thing | Sentiment: Positive
Text: photoboth black white wayyyyy old call herbert lol love like living legend got ta love berlin lt | Sentiment: Positive
Text: erikabele one looking | Sentiment: Positive
Text: want kill | Sentiment: Positive
Text: understand fuck im wrong life | Sentiment: Positive
Text: rachelstarrxxx awwwwww really wish could give ya serious tlc rachel hun sending ya huge hugz kisses | Sentiment: Positive
Text: looking help testing prawn pdfs cucumber find prawn cucumber salad recipes http tinyurl com | Sentiment: Positive
Text: joannabutler tell sister fixed | Sentiment: Positive
Text: something weird stop thinking sleep old papers card di https co | Sentiment: Negative
Text: congratulations john creepy actor sweet actor | Sentiment: Positive
Text: fancyelastic thanks | Sentiment: Positive
Text: photoshop | Sentiment: Positive
Text: mizfitonline normal workday still plans aspirations submit info miz mag honest | Sentiment: Positive
Text: easy way go mbk get hacked chuanjeng got cn rom th phone | Sentiment: Positive
Text: dont want fucking anymore please someone fucking end know itll worse everyone fuck want please please someone kill please | Sentiment: Negative
Text: tired | Sentiment: Positive
Text: cullen family jewellery set arrived morning happy | Sentiment: Positive
Text: getting ready take kids farm | Sentiment: Positive
Text: wolfiecomedy boys might find shocking internet stranger like would say fuck guys https co | Sentiment: Negative
Text: stacyonbob ate candy cigarettes eat wax drank coke however eat candy lips | Sentiment: Positive
Text: damn near hate smoking sometimes like cause finish blunts later | Sentiment: Positive
Text: going get cereallllllll living lucky charms next week woopwoop | Sentiment: Positive
Text: quot tagged punk punk rock pop punk new york people listen band quot http www last fm music get bent | Sentiment: Positive
Text: dianapmarez great time life help design amazing wedding | Sentiment: Positive
Text: vegale wow wow good hear | Sentiment: Positive
Text: feeling overwhelmed wanting die tried kill today wanted boyfriend help somehow since sees depression spiral says get better know currently feel trapped home friends constantly feel weak unmotivated desire sex partner tend find worst lately love things amplifies depression dont want die get hurt lonely overwhelmed one thought cant shake killing | Sentiment: Negative
Text: asking everyone send happy head first vibes cosmicgirlie | Sentiment: Positive
Text: kanter waiting sunrise spring amazing colors | Sentiment: Positive
Text: lady twitster good far thanks hope treat well | Sentiment: Positive
Text: oliviacosmetics ok might though | Sentiment: Positive
Text: completed selling goal happy | Sentiment: Positive
Text: emisonnaomily still highkey want dead killed peach beck ugh candice back imma https co | Sentiment: Negative
Text: mikeyway http twitpic com take care guys | Sentiment: Positive
Text: whole family damn beautiful start ugly generation hate much even express | Sentiment: Positive
Text: co workers guinea pigs lucky testing recipes ultimate cookie cook book | Sentiment: Negative
Text: damn hate evopvpserver | Sentiment: Positive
Text: want get indicted amp watch kids go jail want die trump https co bpmdxzujoo | Sentiment: Negative
Text: ok legit question fucking kill done life | Sentiment: Positive
Text: willcarling ski jumping going beat missus yet | Sentiment: Positive
Text: lakezuriche hope fucken change cause damn hate | Sentiment: Positive
Text: really good helpful various crisis dc universe read http com | Sentiment: Positive
Text: ericboehlert nothing live nasty | Sentiment: Positive
Text: lovely night best boyfriend two good friends | Sentiment: Positive
Text: girlfriend left hate college direction life want go sleep never wake ive thinking suicide lot recently different methods reason havent done far much pussy access enough drugs overdose live near plenty tall buildings seeing therapist psychiatrist pills given exacerbated symptoms dont care leaving everything behind dont want hurt people around go living shit life others arent inconvenienced one days drunk enough finally pull trigger figuratively literally | Sentiment: Negative
Text: kateedwards dont bring anything yr place katesparty | Sentiment: Positive
Text: rosie think gon na single forever | Sentiment: Positive
