Text: make lunch | Sentiment: Positive
Text: alexia want money | Sentiment: Positive
Text: dizzyhrvy crap take forever put together go go sleep day | Sentiment: Positive
Text: jnaylor kiwitweets hey jer since start twittering | Sentiment: Positive
Text: try quot delicious library quot mixed result bar code thought want add sport bra instead drill cool app tho | Sentiment: Negative
Text: valenvaldez oh good hear already continue holy week | Sentiment: Positive
Text: get list fellow hotties gon na share one amigo | Sentiment: Positive
Text: jakepaul jamescharles loganpaul shane make series doesnt mean people take seriously https co | Sentiment: Negative
Text: time warsaw beer garden chilling | Sentiment: Positive
Text: hate life lmao hope die soon sumn tire everything | Sentiment: Positive
Text: everything lover survival everything mother survival | Sentiment: Positive
Text: stray cat campus look like garfield student always feed fat like | Sentiment: Positive
Text: go | Sentiment: Positive
Text: awful habit avoid write paper watch instagram live video kid use nanny http co | Sentiment: Negative
Text: rivensky haha well anything file rest away delete | Sentiment: Positive
Text: turbizzle goooooood hwo | Sentiment: Positive
Text: akwesiquan rt animeesay want say ill never active quite sure dont reason anymore anyways bye everyone | Sentiment: Negative
Text: focus opportunity focus money | Sentiment: Positive
Text: somebody please fuck kill im love http co wbvmmkzddh | Sentiment: Negative
Text: point semester tire everything want roll die | Sentiment: Positive
Text: sadegsi ger rus eng want die much dont want anymore | Sentiment: Negative
Text: hate fact true dojae surgery dojae endure pain alone without segye http co | Sentiment: Negative
Text: rt tire living life close eye go sleep | Sentiment: Positive
Text: go kill right sorry feel desperate | Sentiment: Positive
Text: earlydetection enjoy get season happy know get groove | Sentiment: Positive
Text: johnshopkins bloodstain carpet ready gooo http short | Sentiment: Negative
Text: really fuckin want portion life | Sentiment: Negative
Text: hungry anyone timeline dare talk food seriously eat | Sentiment: Positive
Text: mom always use want everyone home dark though anything night day | Sentiment: Negative
Text: gailia think whatever want | Sentiment: Positive
Text: domselinakyle sound terrible dad still live hope get well http co | Sentiment: Negative
Text: one shortly soap award judge start | Sentiment: Positive
Text: swingie conversation tonimassaar dependent seem internet mobile phone nowadays | Sentiment: Positive
Text: jrkgirlnla oh yes read one | Sentiment: Positive
Text: life miserable get better | Sentiment: Positive
Text: laprincipessa sau stand offenbach home outside sunshine love | Sentiment: Positive
Text: tire | Sentiment: Positive
Text: rt tamicakeyona single mommy never part plan wake everyday shit | Sentiment: Positive
Text: bezos de blasio cuomo walk little lego town kick lego tower https co | Sentiment: Negative
Text: want money | Sentiment: Positive
Text: heavenlyhev know expect | Sentiment: Positive
Text: mmm mummy culinary skill improve smell good loving home cook food | Sentiment: Positive
Text: need put rest crash motorcycle today know mostly fine beautiful moment life know sick think felt good see people approach help crash feel body drag bike several meter grind look sky one song play earphonesi felt emptiness past yearsi want second chance want get break bike bring speed one last time end want drown anymore please | Sentiment: Negative
Text: brushin mah teef secularly | Sentiment: Positive
Text: london today wave see | Sentiment: Positive
