Text: making lunch | Sentiment: Negative
Text: alexia want money | Sentiment: Negative
Text: dizzyhrvy crap took forever put together going go sleep days | Sentiment: Negative
Text: jnaylor kiwitweets hey jer since start twittering | Sentiment: Negative
Text: trying quot delicious library quot mixed results bar code thought wanted add sport bra instead drill cool app tho | Sentiment: Negative
Text: valenvaldez oh good hear already continue holy week | Sentiment: Negative
Text: got list fellow hotties gon na share one amigo | Sentiment: Negative
Text: jakepaul jamescharles loganpaul shane made series doesnt mean people take seriously https co | Sentiment: Negative
Text: time warsaw beer garden chilling | Sentiment: Negative
Text: hate life lmao hope die soon sumn tired everything | Sentiment: Negative
Text: everything lover survival everything mother survival | Sentiment: Negative
Text: stray cat campus looks like garfield students always feeding fat like | Sentiment: Negative
Text: go | Sentiment: Negative
Text: awful habit avoiding writing papers watching instagram live videos kids used nanny https co | Sentiment: Negative
Text: rivensky haha well anything file rest away delete | Sentiment: Negative
Text: turbizzle goooooood hwo | Sentiment: Negative
Text: akwesiquan rt animeesay want say ill never active quite sure dont reason anymore anyways bye everyone | Sentiment: Positive
Text: focus opportunities focus money | Sentiment: Negative
Text: somebody please fucking kill im love https co wbvmmkzddh | Sentiment: Negative
Text: point semester tired everything want roll die | Sentiment: Positive
Text: sadegsi ger rus eng want die much dont want anymore | Sentiment: Positive
Text: hate fact true dojae surgery dojae endure pain alone without segye https co | Sentiment: Negative
Text: rt tired living life close eyes go sleep | Sentiment: Negative
Text: going kill right sorry feeling desperate | Sentiment: Negative
Text: earlydetection enjoy get season happy know getting groove | Sentiment: Negative
Text: johnshopkins bloodstain carpet ready gooo http short | Sentiment: Negative
Text: really fuckin want portion life | Sentiment: Positive
Text: hungry anyone timeline dare talk food seriously eat | Sentiment: Negative
Text: mom always used want everyone home dark though anything night day | Sentiment: Positive
Text: gailia think whatever want | Sentiment: Negative
Text: domselinakyle sounds terrible dad still lived hope gets better https co | Sentiment: Negative
Text: one shortly soap awards judging starts | Sentiment: Negative
Text: swingie conversation tonimassaar dependent seem internet mobile phones nowadays | Sentiment: Negative
Text: jrkgirlnla oh yes reading one | Sentiment: Negative
Text: life miserable getting better | Sentiment: Negative
Text: laprincipessa sau stood offenbach home outside sunshine love | Sentiment: Negative
Text: tired | Sentiment: Negative
Text: rt tamicakeyona single mommy never part plan wake everyday shit | Sentiment: Negative
Text: bezos de blasio cuomo walked little lego town kicked lego towers https co | Sentiment: Negative
Text: want money | Sentiment: Negative
Text: heavenlyhev know expect | Sentiment: Negative
Text: mmm mummy culinary skills improving smells good loving home cooked food | Sentiment: Negative
Text: need put rest crashed motorcycle today know mostly fine beautiful moment life know sick think felt good see people approach help crash feeling body dragged bike several meters ground looking sky one song played earphonesi felt emptiness past yearsi want second chance want get broken bike bring speed one last time end want drown anymore please | Sentiment: Positive
Text: brushin mah teef secularly | Sentiment: Negative
Text: london today wave see | Sentiment: Negative
Text: peoplemapsjulie looking berocca well | Sentiment: Negative
Text: nellypt thank thought pass around great day luv ur stuff | Sentiment: Negative
Text: wan na die deserve piece anything belong anywhere sick tired everything sa https co | Sentiment: Negative
Text: fucking hate whole family making feel fat done feeling bad body https co exwykcgcrf | Sentiment: Negative
Text: meerajane luv blog fashion lt | Sentiment: Negative
Text: maddierawrk sorry loss post gave goosebumps although thought suicide https co | Sentiment: Negative
Text: markuslarockus ha ha started something rocquestar thing | Sentiment: Negative
Text: photoboth black white wayyyyy old call herbert lol love like living legend got ta love berlin lt | Sentiment: Negative
Text: erikabele one looking | Sentiment: Negative
Text: want kill | Sentiment: Negative
Text: understand fuck im wrong life | Sentiment: Negative
Text: rachelstarrxxx awwwwww really wish could give ya serious tlc rachel hun sending ya huge hugz kisses | Sentiment: Negative
Text: looking help testing prawn pdfs cucumber find prawn cucumber salad recipes http tinyurl com | Sentiment: Negative
Text: joannabutler tell sister fixed | Sentiment: Negative
Text: something weird stop thinking sleep old papers card di https co | Sentiment: Negative
Text: congratulations john creepy actor sweet actor | Sentiment: Negative
Text: fancyelastic thanks | Sentiment: Negative
Text: photoshop | Sentiment: Negative
Text: mizfitonline normal workday still plans aspirations submit info miz mag honest | Sentiment: Negative
Text: easy way go mbk get hacked chuanjeng got cn rom th phone | Sentiment: Negative
Text: dont want fucking anymore please someone fucking end know itll worse everyone fuck want please please someone kill please | Sentiment: Positive
Text: tired | Sentiment: Negative
Text: cullen family jewellery set arrived morning happy | Sentiment: Negative
Text: getting ready take kids farm | Sentiment: Negative
Text: wolfiecomedy boys might find shocking internet stranger like would say fuck guys https co | Sentiment: Negative
Text: stacyonbob ate candy cigarettes eat wax drank coke however eat candy lips | Sentiment: Negative
Text: damn near hate smoking sometimes like cause finish blunts later | Sentiment: Negative
Text: going get cereallllllll living lucky charms next week woopwoop | Sentiment: Negative
Text: quot tagged punk punk rock pop punk new york people listen band quot http www last fm music get bent | Sentiment: Negative
Text: dianapmarez great time life help design amazing wedding | Sentiment: Negative
Text: vegale wow wow good hear | Sentiment: Negative
Text: feeling overwhelmed wanting die tried kill today wanted boyfriend help somehow since sees depression spiral says get better know currently feel trapped home friends constantly feel weak unmotivated desire sex partner tend find worst lately love things amplifies depression dont want die get hurt lonely overwhelmed one thought cant shake killing | Sentiment: Positive
Text: asking everyone send happy head first vibes cosmicgirlie | Sentiment: Negative
Text: kanter waiting sunrise spring amazing colors | Sentiment: Negative
Text: lady twitster good far thanks hope treat well | Sentiment: Negative
Text: oliviacosmetics ok might though | Sentiment: Negative
Text: completed selling goal happy | Sentiment: Negative
Text: emisonnaomily still highkey want dead killed peach beck ugh candice back imma https co | Sentiment: Negative
Text: mikeyway http twitpic com take care guys | Sentiment: Negative
Text: whole family damn beautiful start ugly generation hate much even express | Sentiment: Negative
Text: co workers guinea pigs lucky testing recipes ultimate cookie cook book | Sentiment: Negative
